school537;	Fairleigh Dickinson University - College at Florham
school538;	Northwood University
school539;	Coleman University
school540;	University of Advancing Technology
school541;	University of the Potomac
school542;	Platt College
school543;	Art Institute of California - San Diego
school545;	Laguna College of Art + Design
school546;	Columbia College Hollywood
school548;	Art Institute of California - San Francisco
school550;	NewSchool of Architecture & Design
school551;	Pacific States University
school553;	Rocky Mountain College of Art & Design
school554;	Colorado Heights University
school556;	Everest University - Pompano Beach
school558;	Hodges University
school559;	Trinity College of Florida
school560;	Illinois Institute of Art - Chicago
school561;	St. John's College
school563;	Waldorf College
school565;	Cambridge College
school566;	Newbury College
school567;	Finlandia University
school568;	Missouri Tech
school569;	Morrison University
school570;	Thomas More College of Liberal Arts
school571;	St. Gregory's University
school572;	Utah Valley University
school573;	Vermont Technical College
school575;	Northwest College of Art and Design
school576;	Northwestern Polytechnic University
school577;	Fisher More College
school578;	DeVry University - New York
school580;	Sterling College
school581;	Penn State Abington
school582;	International Fine Arts College
school583;	Illinois Institute of Art - Schaumburg
school584;	Shasta Bible College
school586;	Beulah Heights University
school588;	Everest University - Tampa
school591;	DeVry University - North Brunswick
school592;	Art Institute of Pittsburgh
school593;	Dixie State College
school594;	Johnson & Wales University
school596;	Penn State Schuylkill
school597;	Penn State Lehigh Valley
school598;	Penn State Berks
school600;	DeVry University - Orlando
school601;	Penn State Altoona
school602;	Peirce College
school604;	Art Institute of California - Orange County
school605;	Art Institute of Washington
school606;	Mitchell College
school610;	Stevens-Henager College
school613;	Bethany Lutheran College
school614;	Paul Smith's College
school615;	University of Arkansas at Fort Smith
school617;	DeVry University - Crystal City
school618;	DeVry University - Seattle
school619;	DeVry University - Colorado Springs
school621;	Cabarrus College of Health Sciences
school623;	Muhlenberg College
school625;	California State University Sacramento
school626;	School of the Museum of Fine Arts
school627;	Nazareth College
school628;	Neumann University
school629;	Bellevue University
school630;	Misericordia University
school631;	New England College
school632;	Art Center College of Design
school633;	Augustana College
school634;	Colorado School of Mines
school635;	University of California, Santa Barbara
school636;	Chaminade University of Honolulu
school637;	University of Alaska Anchorage
school638;	Concordia University Nebraska
school639;	East Central University
school640;	Alaska Pacific University
school641;	Montana State University - Billings
school642;	Eastern New Mexico University
school643;	University of Great Falls
school644;	Eastern Oregon University
school645;	Fort Lewis College
school646;	Jamestown College
school647;	University of Colorado Colorado Springs
school648;	Embry-Riddle Aeronautical University - Prescott
school649;	Brooks Institute
school650;	University of California, Davis
school651;	Montana State University
school652;	Hawaii Pacific University
school653;	Midland University
school654;	California State University East Bay
school655;	University of Mary Hardin-Baylor
school656;	California Maritime Academy
school657;	Grand Canyon University
school658;	Caldwell University
school659;	Abilene Christian University
school660;	Creighton University
school661;	Chapman University
school662;	Azusa Pacific University
school663;	Humboldt State University
school664;	Bethany College
school665;	Texas A International University
school666;	California Polytechnic State University, San Luis Obispo
school667;	Newman University
school668;	College of Idaho
school669;	Colorado College
school670;	Colorado Technical University
school671;	Dakota Wesleyan University
school672;	Marylhurst University
school673;	University of Nevada, Reno
school674;	Mount Marty College
school675;	McMurry University
school676;	Willamette University
school677;	Austin College
school678;	Northwood University
school679;	University of Texas of the Permian Basin
school680;	Biola University
school681;	Texas A University - Corpus Christi
school682;	Chadron State College
school683;	Western Oregon University
school684;	Montana Tech of the University of Montana
school685;	Union College
